Cód. Grundfos;Cód. Prov.;Modelo;Descripción;Proveedor;Frecuencia;TP;Moneda TP;GRP;Moneda GRP;PL;Moneda PL;Familia;Tipo de Producto;Línea
;86212;"Eje estriado para motor de 4"" de 12 etapas (SP 3A, 5A)";;Grundfos DK;;;;;;65;U$S;REPUESTOS;;
;86213;"Eje estriado para motor de 4"" de 13 etapas (SP 2A)";;Grundfos DK;;;;;;60;U$S;REPUESTOS;;
;86214;"Eje estriado para motor de 4"" de 14 etapas (SP 1A)";;Grundfos DK;;;;;;61,25;U$S;REPUESTOS;;
;86215;"Eje estriado para motor de 4"" de 15 etapas (SP 3A)";;Grundfos DK;;;;;;71,25;U$S;REPUESTOS;;
;86217;"Eje estriado para motor de 4"" de 17 etapas (SP 5A)";;Grundfos DK;;;;;;75;U$S;REPUESTOS;;
;86218;"Eje estriado para motor de 4"" de 18 etapas (SP 1A, 2A, 3A)";;Grundfos DK;;;;;;77,5;U$S;REPUESTOS;;
;86221;"Eje estriado para motor de 4"" de 21 etapas (SP 1A, 5A)";;Grundfos DK;;;;;;82,5;U$S;REPUESTOS;;
;86222;"Eje estriado para motor de 4"" de 22 etapas (SP 3A)";;Grundfos DK;;;;;;85;U$S;REPUESTOS;;
;86223;"Eje estriado para motor de 4"" de 23 etapas (SP 2A)";;Grundfos DK;;;;;;77,5;U$S;REPUESTOS;;
;86225;"Eje estriado para motor de 4"" de 25 etapas (SP 3A, 5A)";;Grundfos DK;;;;;;91,25;U$S;REPUESTOS;;
;86227;"Eje estriado para motor de 4"" de 27 etapas (SP 2A)";;Grundfos DK;;;;;;85;U$S;REPUESTOS;;
;86228;"Eje estriado para motor de 4"" de 28 etapas (SP 1A, 2A)";;Grundfos DK;;;;;;86,25;U$S;REPUESTOS;;
;86229;"Eje estriado para motor de 4"" de 29 etapas (SP 3A)";;Grundfos DK;;;;;;98,75;U$S;REPUESTOS;;
;86230;"Eje estriado para motor de 4"" de 30 etapas (SP 3A)";;Grundfos DK;;;;;;107,5;U$S;REPUESTOS;;
;86232;"Eje estriado para motor de 4"" de 32 etapas (SP 2A)";;Grundfos DK;;;;;;95;U$S;REPUESTOS;;
;86233;"Eje estriado para motor de 4"" de 33 etapas (SP 2A, 3A, 5A)";;Grundfos DK;;;;;;106,25;U$S;REPUESTOS;;
;90012;Tuerca del cono (SP 3A, 5A);;Grundfos DK;;;;;;3,75;U$S;REPUESTOS;;
;95003;Cámara (SP 1A, 2A, 3A);;Grundfos DK;;;;;;13,75;U$S;REPUESTOS;;
;95048;Impulsor (SP 2A) *;*Eje estriado;Grundfos DK;;;;;;6,25;U$S;REPUESTOS;;
;95049;Impulsor (SP 2A);;Grundfos DK;;;;;;6,25;U$S;REPUESTOS;;
;95051;Cámara (SP 1A, 2A, 3A) *;*Eje estriado;Grundfos DK;;;;;;13,75;U$S;REPUESTOS;;
;95054;Kit de mantenimiento de 1 a 6 etapas (SP 1A, 2A, 3A, 5A) *;*Eje estriado;Grundfos DK;;;;;;107,5;U$S;REPUESTOS;;
;95056;Kit de mantenimiento de 16-21 etapas (SP 1A, 2A, 3A, 5A) *;*Eje estriado;Grundfos DK;;;;;;135;U$S;REPUESTOS;;
;95059;Kit de mantenimiento de 40-48 etapas (SP 1A, 2A, 3A, 5A);;Grundfos DK;;;;;;186,25;U$S;REPUESTOS;;
;95060;Kit de mantenimiento de 49-60 etapas (SP 1A, 2A, 3A, 5A);;Grundfos DK;;;;;;228,75;U$S;REPUESTOS;;
;95061;Kit de mantenimiento de 61-75 etapas (SP 1A, 2A, 3A, 5A);;Grundfos DK;;;;;;266,25;U$S;REPUESTOS;;
;95062;Kit de mantenimiento de 76-90 etapas (SP 1A, 2A, 3A, 5A);;Grundfos DK;;;;;;293,75;U$S;REPUESTOS;;
;95515;Tuerca del cono (SP 1A, 2A, 3A, 5A);;Grundfos DK;;;;;;7,5;U$S;REPUESTOS;;
;96033;"Eje para motor de 4"" de 33 etapas (SP 3A)";;Grundfos DK;;;;;;81,25;U$S;REPUESTOS;;
;96037;"Eje para motor de 4"" de 37 etapas (SP 2A)";;Grundfos DK;;;;;;76,25;U$S;REPUESTOS;;
;96039;"Eje para motor de 4"" de 39 etapas (SP 3A)";;Grundfos DK;;;;;;87,5;U$S;REPUESTOS;;
;96045;"Eje para motor de 4"" de 45 etapas (SP 3A)";;Grundfos DK;;;;;;90;U$S;REPUESTOS;;
;96055;"Eje para motor de 4"" de 55 etapas (SP 2A)";;Grundfos DK;;;;;;90;U$S;REPUESTOS;;
;96057;"Eje para motor de 4"" de 57 etapas (SP 1A)";;Grundfos DK;;;;;;92,5;U$S;REPUESTOS;;
;96060;"Eje para motor de 4"" de 60 etapas (SP 3A)";;Grundfos DK;;;;;;100;U$S;REPUESTOS;;
;96065;"Eje para motor de 4"" de 65 etapas (SP 2A)";;Grundfos DK;;;;;;96,25;U$S;REPUESTOS;;
;96075;"Eje para motor de 4"" de 75 etapas (SP 2A)";;Grundfos DK;;;;;;108,75;U$S;REPUESTOS;;
;96090;"Eje para motor de 4"" de 90 etapas (SP 2A)";;Grundfos DK;;;;;;131,25;U$S;REPUESTOS;;
;105050;Impulsor (SP 3A) *;*Eje estriado;Grundfos DK;;;;;;7,5;U$S;REPUESTOS;;
;105059;Kit de mantenimiento de 31-39 etapas (SP 1A, 2A, 3A, 5A);;Grundfos DK;;;;;;143,75;U$S;REPUESTOS;;
;105072;Impulsor (SP 3A);;Grundfos DK;;;;;;18,75;U$S;REPUESTOS;;
;105543;Kit de mantenimiento de -5 etapas (SP 3A, 5A);;Grundfos DK;;;;;;101,25;U$S;REPUESTOS;;
;105544;Kit de mantenimiento de 6-10 etapas (SP 3A, 5A);;Grundfos DK;;;;;;112,5;U$S;REPUESTOS;;
;105546;Kit de mantenimiento de 16-24 etapas (SP 3A, 5A);;Grundfos DK;;;;;;130;U$S;REPUESTOS;;
;105547;Kit de mantenimiento de 25-30 etapas (SP 3A, 5A);;Grundfos DK;;;;;;133,75;U$S;REPUESTOS;;
;106075;Eje de 75 etapas (SP 5 A );;Grundfos DK;;;;;;242,5;U$S;REPUESTOS;;
;106085;Eje de 85 etapas (SP 5 A );;Grundfos DK;;;;;;250;U$S;REPUESTOS;;
;110027;Cono de 5-50 etapas (SP 8 A );;Grundfos DK;;;;;;6,25;U$S;REPUESTOS;;
;110028;Tuerca del cono de 5-50 etapas (SP 8 A );;Grundfos DK;;;;;;5;U$S;REPUESTOS;;
;110073;Tuerca del cono de 58-110 etapas (SP 8A, 11A, 14A);;Grundfos DK;;;;;;5;U$S;REPUESTOS;;
;115074;Impulsor de 58-110 etapas (SP 8A);;Grundfos DK;;;;;;18,75;U$S;REPUESTOS;;
;115105;Cámara de 58-110 etapas (SP 8A);;Grundfos DK;;;;;;27,5;U$S;REPUESTOS;;
;115106;Cámara de 5-50 etapas (SP 8A);;Grundfos DK;;;;;;25;U$S;REPUESTOS;;
;115134;;;Grundfos DK;;;;;;;U$S;REPUESTOS;;
;116058;"Eje para motor de 6"" de 58 etapas (SP 8A)";;Grundfos DK;;;;;;297,5;U$S;REPUESTOS;;
;116066;"Eje para motor de 6"" de 66 etapas (SP 8A)";;Grundfos DK;;;;;;315;U$S;REPUESTOS;;
;116073;"Eje para motor de 6"" de 73 etapas (SP 8A)";;Grundfos DK;;;;;;332,5;U$S;REPUESTOS;;
116082;;"Eje para motor de 6"" de 82 etapas (SP 8A)";;Grundfos DK;;;;;;342,5;U$S;REPUESTOS;;
116091;;"Eje para motor de 6"" de 91 etapas (SP 8A)";;Grundfos DK;;;;;;353,75;U$S;REPUESTOS;;
116092;;"Eje para motor de 6"" de 100 etapas (SP 8A)";;Grundfos DK;;;;;;367,5;U$S;REPUESTOS;;
116093;;"Eje para motor de 6"" de 110 etapas (SP 8A)";;Grundfos DK;;;;;;378,75;U$S;REPUESTOS;;
116526;;"Eje para motor de 6"" de 52 etapas (SP 5 A)";;Grundfos DK;;;;;;172,5;U$S;REPUESTOS;;
116530;;"Eje para motor de 6"" de 30 etapas (SP 8A)";;Grundfos DK;;;;;;227,5;U$S;REPUESTOS;;
116531;;"Eje para motor de 6"" de 62 etapas (SP 5A)";;Grundfos DK;;;;;;202,5;U$S;REPUESTOS;;
116537;;"Eje para motor de 6"" de 37 etapas (SP 8A)";;Grundfos DK;;;;;;237,5;U$S;REPUESTOS;;
116544;;"Eje para motor de 6"" de 44 etapas (SP 8A)";;Grundfos DK;;;;;;247,5;U$S;REPUESTOS;;
116550;;"Eje para motor de 6"" de 50 etapas (SP 8A)";;Grundfos DK;;;;;;256,25;U$S;REPUESTOS;;
116605;;"Eje para motor de 6"" de 5 etapas (SP 8A)";;Grundfos DK;;;;;;62,5;U$S;REPUESTOS;;
116607;;"Eje para motor de 6"" de 7 etapas (SP 8A)";;Grundfos DK;;;;;;61,25;U$S;REPUESTOS;;
116610;;"Eje para motor de 6"" de 10 etapas (SP 8A)";;Grundfos DK;;;;;;70;U$S;REPUESTOS;;
116612;;"Eje para motor de 6"" de 12 etapas (SP 8A)";;Grundfos DK;;;;;;73,75;U$S;REPUESTOS;;
116615;;"Eje para motor de 6"" de 15 etapas (SP 8A)";;Grundfos DK;;;;;;78,75;U$S;REPUESTOS;;
116618;;"Eje para motor de 6"" de 18-36 etapas (SP 1A, 3A, 8A)";;Grundfos DK;;;;;;82,5;U$S;REPUESTOS;;
116619;;"Eje para motor de 6"" de 38 etapas (SP 5 A)";;Grundfos DK;;;;;;86,25;U$S;REPUESTOS;;
116620;;"Eje para motor de 6"" de 40 etapas (SP 2 A)";;Grundfos DK;;;;;;76,25;U$S;REPUESTOS;;
116621;;"Eje para motor de 6"" de 21-42 etapas (SP 1A, 3A, 5A, 8A)";;Grundfos DK;;;;;;76,25;U$S;REPUESTOS;;
116622;;"Eje para motor de 6"" de 44 etapas (SP 5 A)";;Grundfos DK;;;;;;72,5;U$S;REPUESTOS;;
116623;;"Eje para motor de 6"" de 46 etapas (SP 2 A)";;Grundfos DK;;;;;;80;U$S;REPUESTOS;;
